id;title;proposal_abstract;submission_date;methodology;status;plagiarism_score;student_id
1;knowingly delicious why;although martenXXXXX;2025-07-08T13:30:39;pfft worseXXXXXXXXXX;REJECTED;0.14;1
2;chainstay blah;forenenstXXXXXXXXXXX;2025-07-08T17:50:43;cuckoo ownership meanwhile;REJECTED;49.02;2
3;flint up uh-huh;sizzle oldXXXXXXXXXX;2025-07-09T04:15:48;cauliflowerXXXXXXXXX;REJECTED;89.65;2
4;hippodrome;boohooXXXXXXXXXXXXXX;2025-07-09T05:00:53;pivotXXXXXXXXXXXXXXX;REJECTED;18.33;2
5;yuckX;energeticXXXXXXXXXXX;2025-07-08T18:36:00;nowXXXXXXXXXXXXXXXXX;SUBMITTED;4.06;2
6;for yahoo devoted;closelyXXXXXXXXXXXXX;2025-07-09T06:10:44;till steepleXXXXXXXX;APPROVED;67.89;1
7;spirit;pile folklore before;2025-07-09T03:13:20;because delirious powerful;UNDER_REVIEW;15.14;2
8;boohoo beret defiantly;vainly uh-huh onXXXX;2025-07-08T10:36:10;willfully finallyXXX;APPROVED;52.77;1
9;oofXX;marvelous formula hunt;2025-07-08T16:57:43;squeakyXXXXXXXXXXXXX;APPROVED;37.73;2
10;grubby godfather pulse;prohibitionXXXXXXXXX;2025-07-08T10:34:31;like violentlyXXXXXX;APPROVED;50.38;1
